game_name,subjectivity,polarity
Lilly and Sasha: Curse of the Immortals,0.617777778,0.675
ECCHI NEKO GIRLS PUZZLE,0.568865079,0.572654762
Psychonauts,1,0.75
Kimagure Temptation,0.476530612,0.563265306
The Iron Oath Demo,0.4775,0.590625
LYNE,0.222222222,0.541666667
Pocket Kingdom,0.5625,0.375
Ignited Steel Demo,0.4775,0.590625
Far Cry® 3 Blood Dragon,0.322222222,0.391666667
State of Decay 2,0.289285714,0.442857143
Sid Meier's Civilization IV,0.544500125,0.528901986
XCOM: Enemy Unknown,0.727272727,0.784090909
SMETANKA,0.083333333,0.408333334
Tennis World Tour,0.476259921,0.572475199
Total War: WARHAMMER,0.7,0.475
VEGAS Pro 14 Edit Steam Edition,0.75,0.9
MURDERED: SOUL SUSPECT™,0.5375,0.66875
Dragon Climax,0.4,0.3
ONE PIECE PIRATE WARRIORS 3,0.05,0.4375
Sid Meier's Pirates!,0.466666667,0.433333334
BalanCity,0.506233417,0.532796572
Totally Accurate Battlegrounds,0.45390377,0.537512401
SYNTHETIK,0.519538553,0.503507905
Hunger in Paradise,0.375,0.525
Crush the Castle Legacy Collection,0.7,0.4
日日夜夜,0.492142857,0.483690476
Tower of Guns,0.4875,0.55
Terra Nil Demo,0.5,0.75
Prey,0.3,0.45
Prey,0.385267857,0.480357143
Sudeki,0.516666667,0.595833334
tModLoader,0.607142857,0.357142857
Townopolis,0.3625,0.54375
Breach & Clear,0.443660287,0.544597289
Garry's Mod,0.4,0.45
Steam Deck Deposit,0.6,0.75
Dungeons & Dragons: Ravenloft Series,0.434259259,0.547685185
Have a Nice Death,0.7,0.9
Pyre,0.533333333,0.225
Ghostrunner Demo,0.502564103,0.563461539
Darkness Within: In Pursuit of Loath Nolder,0.496218487,0.593277311
TT Isle of Man,0.9,0.9
The Elder Scrolls: Legends,0.589285714,0.6375
Dungeons & Dragons: Dark Sun Series,0.4,0.4
A Kiss For The Petals - Remembering How We Met,0.82,0.58
Sabbat of the Witch,0.397222222,0.537847222
Rayland,0.511764706,0.50882353
OCTOPATH TRAVELER,0.285333333,0.562333334
Timelie,0.65,0.375
Prison Architect,0.382667781,0.515177179
