game_name,scaled_rating
Dirty Bomb,0.776174338
Medieval Engineers,0.664790095
Aura Kingdom,0.760902464
Levelhead,0.95153351
大逃亡专家/Escape Expert,0.582211343
If My Heart Had Wings -Flight Diary-,0.88384755
Adorables,0.703349283
8-Bit Hordes,0.803647049
RIFT,0.716464106
XCOM 2,0.779842991
Call of Duty: Black Ops II,0.828439066
Epic Battle Fantasy 5,0.980463981
FINAL FANTASY VII,0.921759955
Army Men RTS,0.82534113
FINAL FANTASY VIII,0.872480536
Mutant Year Zero: Road to Eden,0.866033172
Lydia,0.893788525
Audiosurf 2,0.78780463
FINAL FANTASY XIV Online,0.801447387
Fury Unleashed,0.871679198
Serious Sam VR: The Last Hope,0.838259532
Alien Swarm: Reactive Drop,0.927449817
From The Depths,0.868714102
RPG Maker XP,0.893957116
Yesterday Origins,0.830433226
Fortified,0.731427334
Hitman: Absolution,0.891969878
Devil May Cry 3: Special Edition,0.530153945
Tomb Raider,0.952804193
Fine Sweeper,0.868077504
Town of Salem,0.846423909
Vernon's Legacy,0.553057401
Regular Human Basketball,0.955532396
Call of Cthulhu,0.706512897
ORION: Prelude,0.713450095
Paranormal State: Poison Spring Collector's Edition,0.727554179
America's Army: Proving Grounds,0.743165491
A New Beginning - Final Cut,0.73168843
EVGA Precision X1,0.720854818
Batman - The Telltale Series,0.733497748
Satellite Reign,0.647833494
Zombie Army Trilogy,0.847650139
Gothic 3,0.778481434
Dungeon Defenders II,0.706966483
King's Bounty: Warriors of the North,0.801633188
Gothic II: Gold Classic,0.875505758
Cuphead,0.95294735
SpellForce: Platinum Edition,0.801544193
Starpoint Gemini 2,0.66105075
Cosmic Pioneer,0.37122807
Scalak,0.982565109
WEED,0.51124871
Trolley Gold,0.216773641
Atari Vault,0.785870545
Commandos 2: Men of Courage,0.829899382
The Dishwasher: Vampire Smile,0.939942881
Hitman 2: Silent Assassin,0.835439783
Swords and Sandals Classic Collection,0.952220979
Hitman: Blood Money,0.929813342
Out of Space,0.438596491
AIRHEART,0.832103624
Hitman: Codename 47,0.691159439
Chaser,0.696828691
Deus Ex: Game of the Year Edition,0.940869019
ELDERBORN,0.941923775
The Incredible Adventures of Van Helsing: Final Cut,0.688450026
Okhlos: Omega,0.772724864
Thief: Deadly Shadows,0.824691841
Bud Spencer & Terence Hill - Slaps And Beans,0.933775458
Tomb Raider: Legend,0.856323273
Poly Bridge,0.873950852
War Thunder,0.765246087
Nation Red,0.870865324
Dragon's Dogma: Dark Arisen,0.869685214
DARK SOULS™ II,0.873826608
Screencheat,0.911498492
Hero Siege,0.761658261
Hollow Knight,0.948599583
PAC-MAN Championship Edition DX+,0.947963555
F1 Race Stars,0.732960721
Vaporum,0.887168903
The Shadowland,0.565365026
The Town of Light,0.782763996
oO,0.904055752
